,host_response_rate,host_acceptance_rate,price,availability_365,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,room_type
10064,98.0,100.0,1281.0,357,20.2,4.73,4.66,4.92,1.4,Entire home/apt
10065,90.0,86.0,700.0,365,2.0,4.8,4.9,4.5,0.1,Private room
10066,100.0,95.0,400.0,364,3.0,4.8,4.9,5.0,0.11,Private room
10067,94.5,91.5,1250.0,90,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10068,100.0,100.0,296.0,356,12.0,4.83,4.92,4.83,0.63,Private room
10069,98.6,99.0,1900.0,336,6.0,5.0,5.0,5.0,0.2,Entire home/apt
10070,98.6,97.3,299.0,365,4.0,4.5,5.0,5.0,0.13,Private room
10071,94.5,97.3,1000.0,177,0.0,4.7,4.8,4.8,1.7,Private room
10072,100.0,100.0,1377.0,362,5.0,5.0,4.9,5.0,0.16,Entire home/apt
10073,100.0,100.0,1308.0,362,8.0,4.88,4.5,5.0,0.25,Entire home/apt
10074,100.0,91.5,280.0,0,9.0,4.78,5.0,4.89,0.29,Private room
10075,100.0,97.3,1062.7,351,1.0,4.8,5.0,5.0,0.04,Private room
10076,100.0,100.0,314.0,302,22.0,4.91,4.95,4.95,0.69,Private room
10077,91.0,99.0,405.0,326,9.0,5.0,5.0,5.0,0.28,Entire home/apt
10078,95.0,100.0,1061.0,339,20.2,4.87,4.99,4.93,1.4,Entire home/apt
10079,94.5,91.5,260.0,365,0.0,4.7,4.8,4.8,1.7,Private room
10080,94.5,92.0,239.0,0,47.0,4.89,4.89,4.83,1.49,Private room
10081,100.0,93.0,871.0,35,1.0,5.0,5.0,5.0,0.04,Private room
10082,100.0,93.0,871.0,35,5.0,5.0,5.0,5.0,0.16,Private room
10083,94.5,100.0,1281.0,361,28.0,4.93,4.71,4.96,0.88,Entire home/apt
10084,100.0,100.0,1281.0,361,20.0,4.65,4.6,4.85,0.63,Entire home/apt
10085,100.0,100.0,1281.0,361,18.0,4.78,4.9,4.94,0.57,Entire home/apt
10086,100.0,99.0,1062.7,351,20.0,4.8,4.7,5.0,1.13,Entire home/apt
10087,88.0,97.3,600.0,301,12.0,4.92,5.0,4.92,0.66,Private room
10088,94.5,91.5,900.0,27,5.0,5.0,5.0,5.0,0.17,Entire home/apt
10089,100.0,100.0,549.0,353,75.0,4.97,4.97,4.91,2.39,Entire home/apt
10090,94.5,100.0,1000.0,148,4.0,4.75,4.75,4.75,0.2,Private room
10091,100.0,100.0,343.0,365,0.0,4.7,4.8,4.8,1.7,Private room
10092,99.0,99.0,1062.7,72,55.0,4.85,4.84,4.98,1.83,Entire home/apt
10093,94.5,91.5,1295.0,365,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10094,94.5,100.0,2500.0,365,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10095,100.0,100.0,750.0,364,28.0,4.68,4.68,4.61,0.92,Private room
10096,98.6,91.5,265.0,210,0.0,4.7,4.8,4.8,1.7,Private room
10097,98.6,100.0,989.0,157,33.0,4.67,4.9,4.85,1.06,Entire home/apt
10098,94.5,100.0,1000.0,3,2.0,5.0,4.5,5.0,0.07,Private room
10099,94.5,100.0,1000.0,3,5.0,4.6,4.8,5.0,0.28,Private room
10100,94.5,100.0,2400.0,364,1.0,5.0,5.0,5.0,0.04,Private room
10101,100.0,100.0,1300.0,87,3.0,5.0,5.0,5.0,0.09,Entire home/apt
10102,98.6,98.0,1394.0,354,20.0,4.6,4.9,4.85,0.64,Entire home/apt
10103,94.5,97.3,500.0,173,0.0,4.7,4.8,4.8,1.7,Private room
10104,100.0,100.0,324.0,358,95.0,4.55,4.75,4.9,3.01,Entire home/apt
10105,94.5,100.0,1827.0,361,3.0,5.0,4.67,5.0,0.1,Private room
10106,94.5,97.3,1815.0,179,0.0,4.7,4.8,4.8,1.7,Entire home/apt
